ADID,CreativeUrl,Currency Code,Spend,Impressions,StartDate,EndDate,OrganizationName,PayingAdvertiserName,Gender,AgeBracket,CountryCode,,,,,,,,,
b7ad99c813728e578589907579ecbe294187adb1fcdbd1d38c6fc44654482e9e,https://www.snap.com/political-ads/asset/1be538377b0ca67b72ba0f254e8af03ee493d1922e738433d8ace401ea09eb30?mediaType=png,USD,6096,1929033,2018/10/29 17:40:22Z,2018/11/04 04:00:00Z,ACRONYM,Show Up To Vote,MALE,18+,united states,,,,,,,,,
8a5d13e7c6887c8536ee45203045c1fa2a2c7abf1a8294550b1d60ca69d269aa,https://www.snap.com/political-ads/asset/19949617eac1417a42f402404345193f3f36f9d099795606987d06bbf91430a3?mediaType=png,USD,415,86714,2018/11/04 22:41:40Z,2018/11/07 02:41:40Z,Friends of James Skoufis,Friends of James Skoufis,,18+,united states,,,,,,,,,
2b1f1addb0fca4edff54fa0c1749fa720774ce6ac77b33070feb1c344175185d,https://www.snap.com/political-ads/asset/00658709841033ed4ada76943816a13bbe8dbb7fbeeac12cc057471fcce1fda3?mediaType=jpg,USD,897,252799,2018/11/04 00:57:48Z,2018/11/07 03:00:05Z,Save Our Schools Arizona PAC,Save Our Schools Arizona PAC,,18+,united states,,,,,,,,,
eb3d96669598caac165406987ecfc9b0a25a414fb6b5d8a7ad92eef26f27a744,https://www.snap.com/political-ads/asset/3165ec51361b3ed0da7059c388fb783f2535c5e6ce1ecbef06ab5019850f50fe?mediaType=mp4,USD,1041,212366,2018/09/26 01:01:14Z,2018/10/01 06:59:59Z,The Modesto Bee,Paid for by Terry Withrow,,18+,united states,,,,,,,,,
32887f5e766eba64aefb38ed3643f0471941fc8b1f919318fb1688aa62cb941f,https://www.snap.com/political-ads/asset/5cae0547f51cae1c9b593bf964d75b9576283691ab2cad63381265cf6a8308a6?mediaType=png,USD,31,10695,2018/11/02 22:53:21Z,2018/11/07 01:00:00Z,Mothership Strategies,Voto Latino,,18-25,united states,,,,,,,,,
d807e8a1b780613993ac68bdb287d0578cfa34017a778d43e7e59fdb4a911889,https://www.snap.com/political-ads/asset/6dbfd56a73d98b96379121463b9d51625177c2002dae893f693997e24cb70f3c?mediaType=mp4,USD,461,128029,2018/09/06 14:34:57Z,2018/10/17 06:30:00Z,Bully Pulpit Interactive,NextGen America,,18-34,united states,,,,,,,,,
ec562a534ab18d11ec81388286de08e75190443bcbc8e519eee184fab46ededb,https://www.snap.com/political-ads/asset/25c34466562d88925749fdfaf6e1f8b1bb873d0213525be6520895fda39f3873?mediaType=mp4,USD,2716,431024,2018/10/29 17:40:22Z,2018/11/06 22:00:00Z,ACRONYM,Show Up To Vote,,18+,united states,,,,,,,,,
9ca1da9db1c9d7b39e08ce075a81bd2bb0a8c2ccecd4fcb23dd7f3fd7a4e3cb9,https://www.snap.com/political-ads/asset/6bfcd2d71d1a50bf43c64f4510b97231bc716db3accc1b539f00ec6d1b66aaf9?mediaType=png,USD,9,1521,2018/10/30 17:58:01Z,2018/11/06 22:59:59Z,Mothership Strategies,Progressive Turnout Project,,18+,united states,,,,,,,,,
51c6f22df1a0babccd2acdfffaa96a5c12453edbc149b92dc36fd363bf8c6a8c,https://www.snap.com/political-ads/asset/4f5b78fa7c75c4bc63126e3dd14d1e98d678d69eef9784f208cc8c1e4671dd40?mediaType=png,USD,88,12653,2018/10/26 17:58:01Z,2018/11/06 22:59:59Z,Mothership Strategies,Progressive Turnout Project,,18+,united states,,,,,,,,,
7dba1320224bb29bdd58d4fd4a42d0f5473132beff36b216e5994053699e9063,https://www.snap.com/political-ads/asset/81c5da2656c8698c71fbb6db92e97b5ef2648b33d76a4e0755695ff751656a87?mediaType=mp4,CAD,141,86455,2018/07/20 23:09:54Z,2018/09/04 03:59:00Z,The Aber Group,Plan International Canada,,,canada,,,,,,,,,
0df9a3ef039f2342f1b9797c7d81ec4087e0c0a730e1ef829d00aead167c2b88,https://www.snap.com/political-ads/asset/bf332b04153df3998a9130675e18b85e6af527f93e581252a0b2d116e099c225?mediaType=mp4,AUD,350,158924,2018/09/06 16:51:53Z,2018/09/12 16:51:54Z,ACYP,NSW Advocate for Children & YP,,24-,australia,,,,,,,,,
966f103cba530d8c84fc487f2dd22030fcba01a7a2b46a99fec8680f7f60f1fc,https://www.snap.com/political-ads/asset/f98be89dc10c5de6f53594c72d20e353d491325aebae553bfdbc31232064039c?mediaType=mp4,USD,832,75553,2018/10/18 18:36:25Z,2018/11/06 23:00:00Z,Bully Pulpit Interactive,NextGen America,,18-34,united states,,,,,,,,,
6dd04257401c2c1f715171339e36e3e698d975a17f782e5f4443ef51d198049f,https://www.snap.com/political-ads/asset/8f7bf00b674fb6a8745787cf010c97e61095c255a33052705004b3048de34d92?mediaType=mp4,AUD,45,8198,2018/12/28 00:36:16Z,,ItAllCounts Pty Ltd,ItAllCounts Pty Ltd,FEMALE,30+,australia,,,,,,,,,
0e78b97f3b54f1accd6b7d115d74bee0c6f85c7f5c14ff159ca25966a5cef622,https://www.snap.com/political-ads/asset/6d61dbc97238f4894617da8c74d09bfeb593b2d713661ddf36620af6f840e421?mediaType=mp4,USD,1721,802812,2018/10/02 14:00:00Z,2018/11/06 23:00:00Z,Bucket Media Inc.,Missouri Secretary of State,,18+,united states,,,,,,,,,
db5410a5f655c16cbf3bf30d7d01ea2d836db1c8a3061bd42b09a30c2a8e6f9f,https://www.snap.com/political-ads/asset/bfd2df6e0aa397d5b9cfc7514b52501920ee772bfa2cdac0d6e5a1e8b46535cc?mediaType=mp4,USD,8,3924,2018/11/06 18:21:20Z,2018/11/07 01:19:08Z,Research Triangle Student Advocacy,ResTri Student Advocacy,FEMALE,18-34,united states,,,,,,,,,
